country,city,venue,googlemaps_hyperlink,find1,find2,find3,y,x,test_coordinates
USA,Chapel Hill,Cat's Cradle,"https://www.google.com/maps/?q=35.9098478,-79.06893",31,42,51,35.9098478,-79.0689,"35.9098478, -79.0689"
USA,Charleston,Common Grounds,"https://www.google.com/maps/?q=38.3513477,-81.6344373",31,42,53,38.3513477,-81.634437,"38.3513477, -81.634437"
USA,Charlotte,Milestone,"https://www.google.com/maps/?q=35.2446704,-80.8834475",31,42,53,35.2446704,-80.883447,"35.2446704, -80.883447"
USA,Charlotte,Thirteen Thirteen,"https://www.google.com/maps/?q=35.2171281,-80.8525055",31,42,53,35.2171281,-80.852505,"35.2171281, -80.852505"
USA,Charlotte,Tremont Music Hall,"https://www.google.com/maps/?q=35.2115543,-80.8672692",31,42,53,35.2115543,-80.867269,"35.2115543, -80.867269"
USA,Charlottesville,Trax,"https://www.google.com/maps/?q=38.0318554,-78.496016",31,42,52,38.0318554,-78.49601,"38.0318554, -78.49601"
USA,Chicago,Aragon Ballroom,"https://www.google.com/maps/?q=41.9693677,-87.6581433",31,42,53,41.9693677,-87.658143,"41.9693677, -87.658143"
USA,Chicago,Club Dreamerz,"https://www.google.com/maps/?q=41.9089026,-87.6758186",31,42,53,41.9089026,-87.675818,"41.9089026, -87.675818"
USA,Chicago,Congress Theater,"https://www.google.com/maps/?q=41.9201213,-87.6928397",31,42,53,41.9201213,-87.692839,"41.9201213, -87.692839"
USA,Chicago,Medusa,"https://www.google.com/maps/?q=41.9416056,-87.654309",31,42,52,41.9416056,-87.65430,"41.9416056, -87.65430"
USA,Chicago,Oak Theatre,"https://www.google.com/maps/?q=41.9177542,-87.6879633",31,42,53,41.9177542,-87.687963,"41.9177542, -87.687963"
USA,Chicago,Rainbo Roller Rink,"https://www.google.com/maps/?q=41.9694975,-87.6679674",31,42,53,41.9694975,-87.667967,"41.9694975, -87.667967"
USA,Chicago,Vic Theater,"https://www.google.com/maps/?q=41.9395225,-87.6539408",31,42,53,41.9395225,-87.653940,"41.9395225, -87.653940"
USA,Chico,Burro Room,"https://www.google.com/maps/?q=39.7301805,-121.8410216",31,42,54,39.7301805,-121.841021,"39.7301805, -121.841021"
USA,Chico,Cal State University Shurmer Gym,"https://www.google.com/maps/?q=39.7290748,-121.8491743",31,42,54,39.7290748,-121.849174,"39.7290748, -121.849174"
USA,Cincinnati,Bogart's,"https://www.google.com/maps/?q=39.1299734,-84.5100422",31,42,53,39.1299734,-84.510042,"39.1299734, -84.510042"
USA,Clarksville,Thunderdrone Sports Complex,"https://www.google.com/maps/?q=38.2813271,-85.7566773",31,42,53,38.2813271,-85.756677,"38.2813271, -85.756677"
USA,Cleveland,Agora Theater,"https://www.google.com/maps/?q=41.5037118,-81.6539578",31,42,53,41.5037118,-81.653957,"41.5037118, -81.653957"
USA,Cleveland,Flash's,"https://www.google.com/maps/?q=41.4500552,-81.8156539",31,42,53,41.4500552,-81.815653,"41.4500552, -81.815653"
USA,Cleveland,Nautica Stage,"https://www.google.com/maps/?q=41.4963298,-81.7029205",31,42,53,41.4963298,-81.702920,"41.4963298, -81.702920"
USA,Cleveland,Phantasy Nightclub,"https://www.google.com/maps/?q=41.4838837,-81.7705983",31,42,53,41.4838837,-81.770598,"41.4838837, -81.770598"
USA,Clinton,St. John's Gym,"https://www.google.com/maps/?q=42.4149726,-71.6801885",31,42,53,42.4149726,-71.680188,"42.4149726, -71.680188"
USA,College Park,University of Maryland Ritchie Coliseum,"https://www.google.com/maps/?q=38.985037,-76.936431",31,41,51,38.985037,-76.93643,"38.985037, -76.93643"
USA,College Station,Eastgate Live,"https://www.google.com/maps/?q=30.6246076,-96.3301579",31,42,53,30.6246076,-96.330157,"30.6246076, -96.330157"
USA,Colorado Springs,Colorado Music Hall,"https://www.google.com/maps/?q=38.8317571,-104.7853856",31,42,54,38.8317571,-104.785385,"38.8317571, -104.785385"
USA,Columbia (MD),Atholton High School Gym,"https://www.google.com/maps/?q=39.1882852,-76.880577",31,42,52,39.1882852,-76.88057,"39.1882852, -76.88057"
USA,Columbia (MD),Clyde's,"https://www.google.com/maps/?q=39.2155475,-76.8562828",31,42,53,39.2155475,-76.856282,"39.2155475, -76.856282"
