live_show,fls_available,fls_id,datestring,fls_link,Title,Url,Length,Seconds,link
1,1,,,,"Fugazi - Homage, Houston, TX 5.26.91 (AUDIO ONLY)",https://www.youtube.com/watch?v=Cq0atBBTWPA&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=56&pp=iAQB,00:58:54,3534,
1,1,,,,"Fugazi - Melbourne, 19/10/91",https://www.youtube.com/watch?v=7lcw3VYBTVo&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=61&pp=iAQB,00:41:40,2500,
1,1,,,,Fugazi in Tokyo Pt. 1,https://www.youtube.com/watch?v=w_Htb5_piU4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=62&pp=iAQB,00:08:49,529,
1,1,,,,Fugazi in Tokyo Pt. 2,https://www.youtube.com/watch?v=Z4MwYaYkRH4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=63&pp=iAQB,00:07:09,429,
1,1,,,,Fugazi in Tokyo Pt. 3,https://www.youtube.com/watch?v=DmxX4RsGxFc&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=64&pp=iAQB,00:06:08,368,
1,1,,,,Fugazi in Tokyo Pt. 4,https://www.youtube.com/watch?v=IklvcEdajzs&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=65&pp=iAQB,00:06:50,410,
1,1,,,,Fugazi in Tokyo Pt. 5,https://www.youtube.com/watch?v=nWa5jKseCVc&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=66&pp=iAQB,00:05:41,341,
1,1,,,,Fugazi @ The Trocadero 4 6 92,https://www.youtube.com/watch?v=sk_iMVFWYCs&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=67&pp=iAQB,00:34:56,2096,
1,1,,,,"Fugazi - Budapest, Fekte Lyuk - 1992.06.11",https://www.youtube.com/watch?v=WaAwqBfLg88&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=68&pp=iAQB,01:27:58,5278,
1,1,,,,"Fugazi - Hugenottenhalle, Frankfurt 19th June 1992",https://www.youtube.com/watch?v=lQKQHu40f0U&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=69&pp=iAQB,01:11:15,4275,
1,1,,,,"Fugazi live 8/7-1992 i Gävle, Sweden",https://www.youtube.com/watch?v=74oLTdcpm70&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=71&pp=iAQB,01:12:39,4359,
0,,,,,German interview with Ian MacKaye of Fugazi (1/2),https://www.youtube.com/watch?v=4fWaYmOa4Fo&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=72&pp=iAQB,00:05:06,306,
0,,,,,German interview with Ian MacKaye of Fugazi (2/2),https://www.youtube.com/watch?v=Xk4Lm5YtgeI&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=73&pp=iAQB,00:08:45,525,
1,1,,,,Fugazi Live 1993 Entire Show Wilmington NC,https://www.youtube.com/watch?v=xA6d7qQ2S4U&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=74&pp=iAQB,01:03:02,3782,
1,1,,,,"Fugazi playing Joe -1""""",https://www.youtube.com/watch?v=u2If-whd99c&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=75&pp=iAQB,00:03:09,189,
1,1,,,,"Fugazi playing Reclamation""""",https://www.youtube.com/watch?v=10ViZO73Rv4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=76&pp=iAQB,00:03:25,205,
1,1,,,,"Fugazi playing Walken's Syndrome""""",https://www.youtube.com/watch?v=3ayazOj0sLA&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=77&pp=iAQB,00:02:44,164,
1,1,,,,"Fugazi playing Facet Squared""""",https://www.youtube.com/watch?v=56s4CApxghk&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=78&pp=iAQB,00:02:43,163,
1,1,,,,"Fugazi playing Turnover""""",https://www.youtube.com/watch?v=R7Y6atVu7co&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=79&pp=iAQB,00:05:14,314,
1,1,,,,"Fugazi playing Styrofoam""""",https://www.youtube.com/watch?v=f7uqcrxGFos&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=80&pp=iAQB,00:02:34,154,
1,1,,,,"Fugazi playing Exit Only""""",https://www.youtube.com/watch?v=B6HSwaHZhEA&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=81&pp=iAQB,00:02:52,172,
1,1,,,,"Fugazi playing Instrument""""",https://www.youtube.com/watch?v=ezs_RLyMaYM&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=82&pp=iAQB,00:03:56,236,
1,1,,,,"Fugazi playing Smallpox Champion""""",https://www.youtube.com/watch?v=h2TDiNFDS2Y&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=83&pp=iAQB,00:04:13,253,
1,1,,,,"Fugazi playing Returning the Screw""""",https://www.youtube.com/watch?v=ImaUYhzsB_M&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=84&pp=iAQB,00:03:39,219,
1,1,,,,"Fugazi playing Margin Walker""""",https://www.youtube.com/watch?v=qDQZ4o4O1eM&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=85&pp=iAQB,00:02:43,163,
1,1,,,,"Fugazi playing Suggestion""""",https://www.youtube.com/watch?v=jGeD7ojWVTE&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=86&pp=iAQB,00:08:33,513,
1,1,,,,"Fugazi playing Burning""""",https://www.youtube.com/watch?v=aBRaehrJKi0&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=87&pp=iAQB,00:03:53,233,
1,1,,,,"Fugazi playing Waiting Room""""",https://www.youtube.com/watch?v=4eccBvEKR6E&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=88&pp=iAQB,00:04:05,245,
